RUN	KafkaTestSimulation	kafkatestsimulation	1551969130766	 	3.0.1
USER	Kafka Test	1	START	1551969131222	1551969131222
USER	Kafka Test	2	START	1551969131332	1551969131332
USER	Kafka Test	3	START	1551969131433	1551969131433
REQUEST	1		request	1551969131263	1551969131476	OK	 
REQUEST	2		request	1551969131454	1551969131478	OK	 
REQUEST	3		request	1551969131457	1551969131478	OK	 
USER	Kafka Test	1	END	1551969131222	1551969131479
USER	Kafka Test	2	END	1551969131332	1551969131479
USER	Kafka Test	3	END	1551969131433	1551969131479
USER	Kafka Test	4	START	1551969131543	1551969131543
REQUEST	4		request	1551969131543	1551969131547	OK	 
USER	Kafka Test	4	END	1551969131543	1551969131548
USER	Kafka Test	5	START	1551969131644	1551969131644
REQUEST	5		request	1551969131644	1551969131649	OK	 
USER	Kafka Test	5	END	1551969131644	1551969131650
USER	Kafka Test	6	START	1551969131744	1551969131744
REQUEST	6		request	1551969131745	1551969131766	OK	 
USER	Kafka Test	6	END	1551969131744	1551969131768
USER	Kafka Test	7	START	1551969131844	1551969131844
REQUEST	7		request	1551969131844	1551969131848	OK	 
USER	Kafka Test	7	END	1551969131844	1551969131849
USER	Kafka Test	8	START	1551969131944	1551969131944
REQUEST	8		request	1551969131944	1551969131952	OK	 
USER	Kafka Test	8	END	1551969131944	1551969131953
USER	Kafka Test	9	START	1551969132043	1551969132043
REQUEST	9		request	1551969132043	1551969132046	OK	 
USER	Kafka Test	9	END	1551969132043	1551969132047
USER	Kafka Test	10	START	1551969132144	1551969132144
REQUEST	10		request	1551969132145	1551969132150	OK	 
USER	Kafka Test	10	END	1551969132144	1551969132151
USER	Kafka Test	11	START	1551969132245	1551969132245
REQUEST	11		request	1551969132245	1551969132248	OK	 
USER	Kafka Test	11	END	1551969132245	1551969132249
USER	Kafka Test	12	START	1551969132352	1551969132352
REQUEST	12		request	1551969132353	1551969132359	OK	 
USER	Kafka Test	12	END	1551969132352	1551969132360
USER	Kafka Test	13	START	1551969132453	1551969132453
REQUEST	13		request	1551969132453	1551969132457	OK	 
USER	Kafka Test	13	END	1551969132453	1551969132458
USER	Kafka Test	14	START	1551969132552	1551969132552
REQUEST	14		request	1551969132552	1551969132556	OK	 
USER	Kafka Test	14	END	1551969132552	1551969132558
USER	Kafka Test	15	START	1551969132653	1551969132653
REQUEST	15		request	1551969132653	1551969132660	OK	 
USER	Kafka Test	15	END	1551969132653	1551969132661
USER	Kafka Test	16	START	1551969132754	1551969132754
REQUEST	16		request	1551969132755	1551969132757	OK	 
USER	Kafka Test	16	END	1551969132754	1551969132759
USER	Kafka Test	17	START	1551969132851	1551969132851
REQUEST	17		request	1551969132852	1551969132856	OK	 
USER	Kafka Test	17	END	1551969132851	1551969132857
USER	Kafka Test	18	START	1551969132954	1551969132954
