RUN	KafkaTestSimulation	kafkatestsimulation	1551969992963	 	3.0.1
USER	Kafka Test	1	START	1551969993372	1551969993372
USER	Kafka Test	2	START	1551969993496	1551969993496
USER	Kafka Test	3	START	1551969993595	1551969993595
REQUEST	1		request	1551969993422	1551969993620	OK	 
REQUEST	2		request	1551969993597	1551969993623	OK	 
REQUEST	3		request	1551969993598	1551969993623	OK	 
USER	Kafka Test	1	END	1551969993372	1551969993623
USER	Kafka Test	2	END	1551969993496	1551969993623
USER	Kafka Test	3	END	1551969993595	1551969993623
USER	Kafka Test	4	START	1551969993695	1551969993695
REQUEST	4		request	1551969993697	1551969993700	OK	 
USER	Kafka Test	4	END	1551969993695	1551969993701
USER	Kafka Test	5	START	1551969993794	1551969993794
REQUEST	5		request	1551969993794	1551969993797	OK	 
USER	Kafka Test	5	END	1551969993794	1551969993798
USER	Kafka Test	6	START	1551969993904	1551969993904
REQUEST	6		request	1551969993908	1551969993913	OK	 
USER	Kafka Test	6	END	1551969993904	1551969993913
USER	Kafka Test	7	START	1551969994004	1551969994004
REQUEST	7		request	1551969994008	1551969994010	OK	 
USER	Kafka Test	7	END	1551969994004	1551969994010
USER	Kafka Test	8	START	1551969994105	1551969994105
REQUEST	8		request	1551969994107	1551969994111	OK	 
USER	Kafka Test	8	END	1551969994105	1551969994112
USER	Kafka Test	9	START	1551969994204	1551969994204
REQUEST	9		request	1551969994206	1551969994210	OK	 
USER	Kafka Test	9	END	1551969994204	1551969994211
USER	Kafka Test	10	START	1551969994305	1551969994305
REQUEST	10		request	1551969994306	1551969994307	OK	 
USER	Kafka Test	10	END	1551969994305	1551969994308
USER	Kafka Test	11	START	1551969994405	1551969994405
REQUEST	11		request	1551969994407	1551969994410	OK	 
USER	Kafka Test	11	END	1551969994405	1551969994410
USER	Kafka Test	12	START	1551969994504	1551969994504
REQUEST	12		request	1551969994505	1551969994512	OK	 
USER	Kafka Test	12	END	1551969994504	1551969994512
USER	Kafka Test	13	START	1551969994605	1551969994605
REQUEST	13		request	1551969994606	1551969994608	OK	 
USER	Kafka Test	13	END	1551969994605	1551969994609
USER	Kafka Test	14	START	1551969994705	1551969994705
REQUEST	14		request	1551969994708	1551969994711	OK	 
USER	Kafka Test	14	END	1551969994705	1551969994711
USER	Kafka Test	15	START	1551969994804	1551969994804
REQUEST	15		request	1551969994805	1551969994810	OK	 
USER	Kafka Test	15	END	1551969994804	1551969994810
USER	Kafka Test	16	START	1551969994907	1551969994907
REQUEST	16		request	1551969994908	1551969994910	OK	 
USER	Kafka Test	16	END	1551969994907	1551969994910
USER	Kafka Test	17	START	1551969995006	1551969995006
REQUEST	17		request	1551969995007	1551969995010	OK	 
USER	Kafka Test	17	END	1551969995006	1551969995010
USER	Kafka Test	18	START	1551969995104	1551969995104
REQUEST	18		request	1551969995107	1551969995110	OK	 
USER	Kafka Test	18	END	1551969995104	1551969995110
USER	Kafka Test	19	START	1551969995204	1551969995204
REQUEST	19		request	1551969995206	1551969995210	OK	 
USER	Kafka Test	19	END	1551969995204	1551969995210
USER	Kafka Test	20	START	1551969995305	1551969995305
REQUEST	20		request	1551969995305	1551969995307	OK	 
USER	Kafka Test	20	END	1551969995305	1551969995308
USER	Kafka Test	21	START	1551969995414	1551969995414
REQUEST	21		request	1551969995415	1551969995419	OK	 
USER	Kafka Test	21	END	1551969995414	1551969995419
USER	Kafka Test	22	START	1551969995467	1551969995467
REQUEST	22		request	1551969995467	1551969995470	OK	 
USER	Kafka Test	22	END	1551969995467	1551969995470
USER	Kafka Test	23	START	1551969995566	1551969995566
REQUEST	23		request	1551969995567	1551969995573	OK	 
USER	Kafka Test	23	END	1551969995566	1551969995574
USER	Kafka Test	24	START	1551969995666	1551969995666
REQUEST	24		request	1551969995666	1551969995671	OK	 
USER	Kafka Test	24	END	1551969995666	1551969995671
USER	Kafka Test	25	START	1551969995765	1551969995765
REQUEST	25		request	1551969995766	1551969995770	OK	 
