RUN	KafkaTestSimulation	kafkatestsimulation	1551969571703	 	3.0.1
USER	Kafka Test	1	START	1551969572154	1551969572154
USER	Kafka Test	2	START	1551969572279	1551969572279
USER	Kafka Test	3	START	1551969572381	1551969572381
REQUEST	1		request	1551969572195	1551969572416	OK	 
REQUEST	2		request	1551969572394	1551969572419	OK	 
REQUEST	3		request	1551969572395	1551969572419	OK	 
USER	Kafka Test	1	END	1551969572154	1551969572418
USER	Kafka Test	2	END	1551969572279	1551969572419
USER	Kafka Test	3	END	1551969572381	1551969572419
USER	Kafka Test	4	START	1551969572480	1551969572480
REQUEST	4		request	1551969572481	1551969572483	OK	 
USER	Kafka Test	4	END	1551969572480	1551969572483
USER	Kafka Test	5	START	1551969572579	1551969572579
REQUEST	5		request	1551969572581	1551969572585	OK	 
USER	Kafka Test	5	END	1551969572579	1551969572585
USER	Kafka Test	6	START	1551969572679	1551969572679
REQUEST	6		request	1551969572681	1551969572687	OK	 
USER	Kafka Test	6	END	1551969572679	1551969572687
USER	Kafka Test	7	START	1551969572779	1551969572779
REQUEST	7		request	1551969572780	1551969572783	OK	 
USER	Kafka Test	7	END	1551969572779	1551969572783
USER	Kafka Test	8	START	1551969572882	1551969572882
REQUEST	8		request	1551969572883	1551969572885	OK	 
USER	Kafka Test	8	END	1551969572882	1551969572885
USER	Kafka Test	9	START	1551969572979	1551969572979
REQUEST	9		request	1551969572981	1551969572988	OK	 
USER	Kafka Test	9	END	1551969572979	1551969572988
USER	Kafka Test	10	START	1551969573080	1551969573080
REQUEST	10		request	1551969573081	1551969573083	OK	 
USER	Kafka Test	10	END	1551969573080	1551969573083
USER	Kafka Test	11	START	1551969573180	1551969573180
REQUEST	11		request	1551969573181	1551969573183	OK	 
USER	Kafka Test	11	END	1551969573180	1551969573183
USER	Kafka Test	12	START	1551969573279	1551969573279
REQUEST	12		request	1551969573281	1551969573284	OK	 
USER	Kafka Test	12	END	1551969573279	1551969573284
USER	Kafka Test	13	START	1551969573390	1551969573390
REQUEST	13		request	1551969573392	1551969573398	OK	 
USER	Kafka Test	13	END	1551969573390	1551969573398
USER	Kafka Test	14	START	1551969573489	1551969573489
REQUEST	14		request	1551969573491	1551969573495	OK	 
USER	Kafka Test	14	END	1551969573489	1551969573495
USER	Kafka Test	15	START	1551969573590	1551969573590
REQUEST	15		request	1551969573592	1551969573596	OK	 
USER	Kafka Test	15	END	1551969573590	1551969573596
USER	Kafka Test	16	START	1551969573690	1551969573690
REQUEST	16		request	1551969573692	1551969573698	OK	 
USER	Kafka Test	16	END	1551969573690	1551969573698
USER	Kafka Test	17	START	1551969573791	1551969573791
REQUEST	17		request	1551969573793	1551969573797	OK	 
USER	Kafka Test	17	END	1551969573791	1551969573798
USER	Kafka Test	18	START	1551969573890	1551969573890
REQUEST	18		request	1551969573891	1551969573896	OK	 
USER	Kafka Test	18	END	1551969573890	1551969573896
USER	Kafka Test	19	START	1551969573991	1551969573991
REQUEST	19		request	1551969573992	1551969573996	OK	 
USER	Kafka Test	19	END	1551969573991	1551969573996
USER	Kafka Test	20	START	1551969574091	1551969574091
REQUEST	20		request	1551969574092	1551969574096	OK	 
USER	Kafka Test	20	END	1551969574091	1551969574096
USER	Kafka Test	21	START	1551969574190	1551969574190
REQUEST	21		request	1551969574191	1551969574196	OK	 
USER	Kafka Test	21	END	1551969574190	1551969574196
USER	Kafka Test	22	START	1551969574241	1551969574241
REQUEST	22		request	1551969574242	1551969574246	OK	 
USER	Kafka Test	22	END	1551969574241	1551969574246
USER	Kafka Test	23	START	1551969574340	1551969574340
REQUEST	23		request	1551969574342	1551969574347	OK	 
USER	Kafka Test	23	END	1551969574340	1551969574347
USER	Kafka Test	24	START	1551969574441	1551969574441
REQUEST	24		request	1551969574443	1551969574447	OK	 
USER	Kafka Test	24	END	1551969574441	1551969574448
USER	Kafka Test	25	START	1551969574540	1551969574540
REQUEST	25		request	1551969574542	1551969574545	OK	 
USER	Kafka Test	25	END	1551969574540	1551969574545
USER	Kafka Test	26	START	1551969574641	1551969574641
REQUEST	26		request	1551969574642	1551969574648	OK	 
USER	Kafka Test	26	END	1551969574641	1551969574648
USER	Kafka Test	27	START	1551969574741	1551969574741
REQUEST	27		request	1551969574742	1551969574747	OK	 
USER	Kafka Test	27	END	1551969574741	1551969574747
USER	Kafka Test	28	START	1551969574839	1551969574839
REQUEST	28		request	1551969574840	1551969574843	OK	 
USER	Kafka Test	28	END	1551969574839	1551969574843
USER	Kafka Test	29	START	1551969574939	1551969574939
REQUEST	29		request	1551969574940	1551969574943	OK	 
USER	Kafka Test	29	END	1551969574939	1551969574943
USER	Kafka Test	30	START	1551969575041	1551969575041
REQUEST	30		request	1551969575042	1551969575047	OK	 
USER	Kafka Test	30	END	1551969575041	1551969575047
USER	Kafka Test	31	START	1551969575141	1551969575141
REQUEST	31		request	1551969575142	1551969575146	OK	 
USER	Kafka Test	31	END	1551969575141	1551969575146
USER	Kafka Test	32	START	1551969575239	1551969575239
REQUEST	32		request	1551969575240	1551969575243	OK	 
USER	Kafka Test	32	END	1551969575239	1551969575243
USER	Kafka Test	33	START	1551969575341	1551969575341
REQUEST	33		request	1551969575342	1551969575347	OK	 
USER	Kafka Test	33	END	1551969575341	1551969575347
USER	Kafka Test	34	START	1551969575440	1551969575440
REQUEST	34		request	1551969575441	1551969575445	OK	 
USER	Kafka Test	34	END	1551969575440	1551969575445
USER	Kafka Test	35	START	1551969575541	1551969575541
REQUEST	35		request	1551969575542	1551969575546	OK	 
USER	Kafka Test	35	END	1551969575541	1551969575545
USER	Kafka Test	36	START	1551969575641	1551969575641
REQUEST	36		request	1551969575642	1551969575648	OK	 
USER	Kafka Test	36	END	1551969575641	1551969575648
USER	Kafka Test	37	START	1551969575741	1551969575741
REQUEST	37		request	1551969575742	1551969575745	OK	 
USER	Kafka Test	37	END	1551969575741	1551969575745
USER	Kafka Test	38	START	1551969575840	1551969575840
REQUEST	38		request	1551969575841	1551969575845	OK	 
USER	Kafka Test	38	END	1551969575840	1551969575845
USER	Kafka Test	39	START	1551969575939	1551969575939
REQUEST	39		request	1551969575940	1551969575943	OK	 
USER	Kafka Test	39	END	1551969575939	1551969575943
USER	Kafka Test	40	START	1551969576041	1551969576041
REQUEST	40		request	1551969576042	1551969576050	OK	 
USER	Kafka Test	40	END	1551969576041	1551969576050
