RUN	KafkaTestSimulation	kafkatestsimulation	1551970526541	 	3.0.1
USER	Kafka Test	1	START	1551970526983	1551970526983
USER	Kafka Test	2	START	1551970527112	1551970527112
USER	Kafka Test	3	START	1551970527211	1551970527211
REQUEST	1		request	1551970527029	1551970527241	OK	 
REQUEST	2		request	1551970527223	1551970527244	OK	 
REQUEST	3		request	1551970527224	1551970527244	OK	 
USER	Kafka Test	1	END	1551970526983	1551970527244
USER	Kafka Test	2	END	1551970527112	1551970527244
USER	Kafka Test	3	END	1551970527211	1551970527244
USER	Kafka Test	4	START	1551970527313	1551970527313
REQUEST	4		request	1551970527315	1551970527321	OK	 
USER	Kafka Test	4	END	1551970527313	1551970527321
USER	Kafka Test	5	START	1551970527413	1551970527413
REQUEST	5		request	1551970527415	1551970527418	OK	 
USER	Kafka Test	5	END	1551970527413	1551970527419
USER	Kafka Test	6	START	1551970527523	1551970527523
REQUEST	6		request	1551970527525	1551970527529	OK	 
USER	Kafka Test	6	END	1551970527523	1551970527530
USER	Kafka Test	7	START	1551970527622	1551970527622
REQUEST	7		request	1551970527624	1551970527626	OK	 
USER	Kafka Test	7	END	1551970527622	1551970527627
USER	Kafka Test	8	START	1551970527723	1551970527723
REQUEST	8		request	1551970527724	1551970527728	OK	 
USER	Kafka Test	8	END	1551970527723	1551970527728
USER	Kafka Test	9	START	1551970527822	1551970527822
REQUEST	9		request	1551970527824	1551970527827	OK	 
USER	Kafka Test	9	END	1551970527822	1551970527828
USER	Kafka Test	10	START	1551970527922	1551970527922
REQUEST	10		request	1551970527923	1551970527925	OK	 
USER	Kafka Test	10	END	1551970527922	1551970527926
USER	Kafka Test	11	START	1551970528022	1551970528022
REQUEST	11		request	1551970528023	1551970528026	OK	 
USER	Kafka Test	11	END	1551970528022	1551970528027
USER	Kafka Test	12	START	1551970528121	1551970528121
REQUEST	12		request	1551970528123	1551970528128	OK	 
USER	Kafka Test	12	END	1551970528121	1551970528128
USER	Kafka Test	13	START	1551970528224	1551970528224
REQUEST	13		request	1551970528225	1551970528229	OK	 
USER	Kafka Test	13	END	1551970528224	1551970528230
USER	Kafka Test	14	START	1551970528323	1551970528323
REQUEST	14		request	1551970528326	1551970528330	OK	 
USER	Kafka Test	14	END	1551970528323	1551970528330
USER	Kafka Test	15	START	1551970528421	1551970528421
REQUEST	15		request	1551970528422	1551970528425	OK	 
USER	Kafka Test	15	END	1551970528421	1551970528425
USER	Kafka Test	16	START	1551970528523	1551970528523
REQUEST	16		request	1551970528524	1551970528527	OK	 
USER	Kafka Test	16	END	1551970528523	1551970528527
USER	Kafka Test	17	START	1551970528622	1551970528622
REQUEST	17		request	1551970528623	1551970528627	OK	 
USER	Kafka Test	17	END	1551970528622	1551970528627
USER	Kafka Test	18	START	1551970528721	1551970528721
REQUEST	18		request	1551970528722	1551970528725	OK	 
USER	Kafka Test	18	END	1551970528721	1551970528725
USER	Kafka Test	19	START	1551970528821	1551970528821
REQUEST	19		request	1551970528822	1551970528825	OK	 
USER	Kafka Test	19	END	1551970528821	1551970528825
USER	Kafka Test	20	START	1551970528923	1551970528923
REQUEST	20		request	1551970528924	1551970528927	OK	 
USER	Kafka Test	20	END	1551970528923	1551970528927
USER	Kafka Test	21	START	1551970529021	1551970529021
REQUEST	21		request	1551970529022	1551970529024	OK	 
USER	Kafka Test	21	END	1551970529021	1551970529024
USER	Kafka Test	22	START	1551970529073	1551970529073
REQUEST	22		request	1551970529074	1551970529078	OK	 
USER	Kafka Test	22	END	1551970529073	1551970529078
USER	Kafka Test	23	START	1551970529171	1551970529171
REQUEST	23		request	1551970529172	1551970529175	OK	 
USER	Kafka Test	23	END	1551970529171	1551970529175
USER	Kafka Test	24	START	1551970529272	1551970529272
REQUEST	24		request	1551970529272	1551970529277	OK	 
USER	Kafka Test	24	END	1551970529272	1551970529278
USER	Kafka Test	25	START	1551970529372	1551970529372
REQUEST	25		request	1551970529373	1551970529375	OK	 
USER	Kafka Test	25	END	1551970529372	1551970529375
USER	Kafka Test	26	START	1551970529473	1551970529473
