RUN	KafkaTestSimulation	kafkatestsimulation	1551966644087	 	3.0.1
USER	Kafka Test	1	START	1551966644535	1551966644535
USER	Kafka Test	2	START	1551966644666	1551966644666
USER	Kafka Test	3	START	1551966644776	1551966644776
REQUEST	1		request	1551966644578	1551966644789	OK	 
REQUEST	2		request	1551966644761	1551966644792	OK	 
REQUEST	3		request	1551966644777	1551966644793	OK	 
USER	Kafka Test	1	END	1551966644535	1551966644792
USER	Kafka Test	2	END	1551966644666	1551966644792
USER	Kafka Test	3	END	1551966644776	1551966644793
USER	Kafka Test	4	START	1551966644876	1551966644876
REQUEST	4		request	1551966644878	1551966644881	OK	 
USER	Kafka Test	4	END	1551966644876	1551966644881
USER	Kafka Test	5	START	1551966644976	1551966644976
REQUEST	5		request	1551966644978	1551966644981	OK	 
USER	Kafka Test	5	END	1551966644976	1551966644984
USER	Kafka Test	6	START	1551966645086	1551966645086
REQUEST	6		request	1551966645087	1551966645090	OK	 
USER	Kafka Test	6	END	1551966645086	1551966645090
USER	Kafka Test	7	START	1551966645187	1551966645187
REQUEST	7		request	1551966645188	1551966645190	OK	 
USER	Kafka Test	7	END	1551966645187	1551966645191
USER	Kafka Test	8	START	1551966645285	1551966645285
REQUEST	8		request	1551966645287	1551966645293	OK	 
USER	Kafka Test	8	END	1551966645285	1551966645294
USER	Kafka Test	9	START	1551966645385	1551966645385
REQUEST	9		request	1551966645386	1551966645390	OK	 
USER	Kafka Test	9	END	1551966645385	1551966645391
USER	Kafka Test	10	START	1551966645486	1551966645486
REQUEST	10		request	1551966645487	1551966645490	OK	 
USER	Kafka Test	10	END	1551966645486	1551966645490
USER	Kafka Test	11	START	1551966645585	1551966645585
REQUEST	11		request	1551966645586	1551966645590	OK	 
USER	Kafka Test	11	END	1551966645585	1551966645590
USER	Kafka Test	12	START	1551966645685	1551966645685
REQUEST	12		request	1551966645687	1551966645690	OK	 
USER	Kafka Test	12	END	1551966645685	1551966645690
USER	Kafka Test	13	START	1551966645785	1551966645785
REQUEST	13		request	1551966645786	1551966645788	OK	 
USER	Kafka Test	13	END	1551966645785	1551966645788
USER	Kafka Test	14	START	1551966645885	1551966645885
REQUEST	14		request	1551966645886	1551966645889	OK	 
USER	Kafka Test	14	END	1551966645885	1551966645889
USER	Kafka Test	15	START	1551966645985	1551966645985
REQUEST	15		request	1551966645986	1551966645990	OK	 
USER	Kafka Test	15	END	1551966645985	1551966645991
USER	Kafka Test	16	START	1551966646085	1551966646085
REQUEST	16		request	1551966646086	1551966646088	OK	 
USER	Kafka Test	16	END	1551966646085	1551966646088
USER	Kafka Test	17	START	1551966646186	1551966646186
REQUEST	17		request	1551966646187	1551966646190	OK	 
USER	Kafka Test	17	END	1551966646186	1551966646190
USER	Kafka Test	18	START	1551966646285	1551966646285
REQUEST	18		request	1551966646286	1551966646288	OK	 
USER	Kafka Test	18	END	1551966646285	1551966646289
USER	Kafka Test	19	START	1551966646386	1551966646386
REQUEST	19		request	1551966646387	1551966646390	OK	 
USER	Kafka Test	19	END	1551966646386	1551966646390
USER	Kafka Test	20	START	1551966646487	1551966646487
REQUEST	20		request	1551966646488	1551966646490	OK	 
USER	Kafka Test	20	END	1551966646487	1551966646490
USER	Kafka Test	21	START	1551966646585	1551966646585
REQUEST	21		request	1551966646585	1551966646588	OK	 
USER	Kafka Test	21	END	1551966646585	1551966646588
USER	Kafka Test	22	START	1551966646626	1551966646626
REQUEST	22		request	1551966646628	1551966646632	OK	 
USER	Kafka Test	22	END	1551966646626	1551966646632
USER	Kafka Test	23	START	1551966646727	1551966646727
REQUEST	23		request	1551966646728	1551966646735	OK	 
USER	Kafka Test	23	END	1551966646727	1551966646736
USER	Kafka Test	24	START	1551966646826	1551966646826
REQUEST	24		request	1551966646827	1551966646830	OK	 
USER	Kafka Test	24	END	1551966646826	1551966646831
USER	Kafka Test	25	START	1551966646926	1551966646926
REQUEST	25		request	1551966646928	1551966646933	OK	 
USER	Kafka Test	25	END	1551966646926	1551966646933
USER	Kafka Test	26	START	1551966647025	1551966647025
REQUEST	26		request	1551966647025	1551966647027	OK	 
USER	Kafka Test	26	END	1551966647025	1551966647028
USER	Kafka Test	27	START	1551966647126	1551966647126
REQUEST	27		request	1551966647127	1551966647130	OK	 
USER	Kafka Test	27	END	1551966647126	1551966647131
USER	Kafka Test	28	START	1551966647227	1551966647227
REQUEST	28		request	1551966647228	1551966647232	OK	 
USER	Kafka Test	28	END	1551966647227	1551966647232
USER	Kafka Test	29	START	1551966647326	1551966647326
REQUEST	29		request	1551966647327	1551966647331	OK	 
USER	Kafka Test	29	END	1551966647326	1551966647331
USER	Kafka Test	30	START	1551966647426	1551966647426
REQUEST	30		request	1551966647427	1551966647433	OK	 
USER	Kafka Test	30	END	1551966647426	1551966647433
USER	Kafka Test	31	START	1551966647527	1551966647527
REQUEST	31		request	1551966647527	1551966647531	OK	 
USER	Kafka Test	31	END	1551966647527	1551966647531
USER	Kafka Test	32	START	1551966647626	1551966647626
REQUEST	32		request	1551966647627	1551966647631	OK	 
USER	Kafka Test	32	END	1551966647626	1551966647631
USER	Kafka Test	33	START	1551966647725	1551966647725
REQUEST	33		request	1551966647726	1551966647730	OK	 
USER	Kafka Test	33	END	1551966647725	1551966647730
USER	Kafka Test	34	START	1551966647826	1551966647826
REQUEST	34		request	1551966647827	1551966647829	OK	 
USER	Kafka Test	34	END	1551966647826	1551966647829
USER	Kafka Test	35	START	1551966647924	1551966647924
REQUEST	35		request	1551966647925	1551966647928	OK	 
USER	Kafka Test	35	END	1551966647924	1551966647929
USER	Kafka Test	36	START	1551966648027	1551966648027
