RUN	KafkaTestSimulation	kafkatestsimulation	1551969240578	 	3.0.1
USER	Kafka Test	1	START	1551969241009	1551969241009
USER	Kafka Test	2	START	1551969241119	1551969241119
USER	Kafka Test	3	START	1551969241220	1551969241220
REQUEST	1		request	1551969241047	1551969241269	OK	 
REQUEST	2		request	1551969241252	1551969241271	OK	 
REQUEST	3		request	1551969241253	1551969241271	OK	 
USER	Kafka Test	1	END	1551969241009	1551969241271
USER	Kafka Test	2	END	1551969241119	1551969241271
USER	Kafka Test	3	END	1551969241220	1551969241272
USER	Kafka Test	4	START	1551969241319	1551969241319
REQUEST	4		request	1551969241320	1551969241322	OK	 
USER	Kafka Test	4	END	1551969241319	1551969241322
USER	Kafka Test	5	START	1551969241421	1551969241421
REQUEST	5		request	1551969241422	1551969241425	OK	 
USER	Kafka Test	5	END	1551969241421	1551969241426
USER	Kafka Test	6	START	1551969241529	1551969241529
REQUEST	6		request	1551969241531	1551969241538	OK	 
USER	Kafka Test	6	END	1551969241529	1551969241539
USER	Kafka Test	7	START	1551969241630	1551969241630
REQUEST	7		request	1551969241631	1551969241636	OK	 
USER	Kafka Test	7	END	1551969241630	1551969241636
USER	Kafka Test	8	START	1551969241730	1551969241730
REQUEST	8		request	1551969241731	1551969241736	OK	 
USER	Kafka Test	8	END	1551969241730	1551969241737
USER	Kafka Test	9	START	1551969241829	1551969241829
REQUEST	9		request	1551969241829	1551969241832	OK	 
USER	Kafka Test	9	END	1551969241829	1551969241833
USER	Kafka Test	10	START	1551969241930	1551969241930
REQUEST	10		request	1551969241931	1551969241936	OK	 
USER	Kafka Test	10	END	1551969241930	1551969241937
USER	Kafka Test	11	START	1551969242031	1551969242031
REQUEST	11		request	1551969242032	1551969242035	OK	 
USER	Kafka Test	11	END	1551969242031	1551969242035
USER	Kafka Test	12	START	1551969242128	1551969242128
REQUEST	12		request	1551969242129	1551969242133	OK	 
USER	Kafka Test	12	END	1551969242128	1551969242134
USER	Kafka Test	13	START	1551969242241	1551969242241
REQUEST	13		request	1551969242241	1551969242245	OK	 
USER	Kafka Test	13	END	1551969242241	1551969242245
USER	Kafka Test	14	START	1551969242338	1551969242338
REQUEST	14		request	1551969242339	1551969242341	OK	 
USER	Kafka Test	14	END	1551969242338	1551969242342
USER	Kafka Test	15	START	1551969242439	1551969242439
REQUEST	15		request	1551969242440	1551969242444	OK	 
USER	Kafka Test	15	END	1551969242439	1551969242445
USER	Kafka Test	16	START	1551969242539	1551969242539
REQUEST	16		request	1551969242540	1551969242542	OK	 
USER	Kafka Test	16	END	1551969242539	1551969242543
USER	Kafka Test	17	START	1551969242639	1551969242639
REQUEST	17		request	1551969242640	1551969242644	OK	 
USER	Kafka Test	17	END	1551969242639	1551969242644
USER	Kafka Test	18	START	1551969242740	1551969242740
REQUEST	18		request	1551969242741	1551969242744	OK	 
USER	Kafka Test	18	END	1551969242740	1551969242744
USER	Kafka Test	19	START	1551969242840	1551969242840
REQUEST	19		request	1551969242840	1551969242844	OK	 
USER	Kafka Test	19	END	1551969242840	1551969242844
USER	Kafka Test	20	START	1551969242940	1551969242940
REQUEST	20		request	1551969242941	1551969242944	OK	 
USER	Kafka Test	20	END	1551969242940	1551969242945
USER	Kafka Test	21	START	1551969243040	1551969243040
REQUEST	21		request	1551969243041	1551969243045	OK	 
USER	Kafka Test	21	END	1551969243040	1551969243045
USER	Kafka Test	22	START	1551969243109	1551969243109
REQUEST	22		request	1551969243111	1551969243115	OK	 
USER	Kafka Test	22	END	1551969243109	1551969243116
USER	Kafka Test	23	START	1551969243210	1551969243210
REQUEST	23		request	1551969243211	1551969243217	OK	 
USER	Kafka Test	23	END	1551969243210	1551969243217
USER	Kafka Test	24	START	1551969243310	1551969243310
REQUEST	24		request	1551969243311	1551969243315	OK	 
USER	Kafka Test	24	END	1551969243310	1551969243315
USER	Kafka Test	25	START	1551969243410	1551969243410
REQUEST	25		request	1551969243411	1551969243416	OK	 
USER	Kafka Test	25	END	1551969243410	1551969243417
USER	Kafka Test	26	START	1551969243509	1551969243509
REQUEST	26		request	1551969243510	1551969243514	OK	 
USER	Kafka Test	26	END	1551969243509	1551969243515
USER	Kafka Test	27	START	1551969243610	1551969243610
REQUEST	27		request	1551969243610	1551969243614	OK	 
USER	Kafka Test	27	END	1551969243610	1551969243614
USER	Kafka Test	28	START	1551969243710	1551969243710
REQUEST	28		request	1551969243711	1551969243716	OK	 
USER	Kafka Test	28	END	1551969243710	1551969243717
USER	Kafka Test	29	START	1551969243809	1551969243809
REQUEST	29		request	1551969243810	1551969243814	OK	 
USER	Kafka Test	29	END	1551969243809	1551969243815
USER	Kafka Test	30	START	1551969243909	1551969243909
REQUEST	30		request	1551969243910	1551969243913	OK	 
USER	Kafka Test	30	END	1551969243909	1551969243913
USER	Kafka Test	31	START	1551969244010	1551969244010
REQUEST	31		request	1551969244011	1551969244015	OK	 
USER	Kafka Test	31	END	1551969244010	1551969244016
USER	Kafka Test	32	START	1551969244111	1551969244111
REQUEST	32		request	1551969244111	1551969244119	OK	 
USER	Kafka Test	32	END	1551969244111	1551969244120
USER	Kafka Test	33	START	1551969244210	1551969244210
REQUEST	33		request	1551969244211	1551969244214	OK	 
USER	Kafka Test	33	END	1551969244210	1551969244215
USER	Kafka Test	34	START	1551969244309	1551969244309
REQUEST	34		request	1551969244310	1551969244314	OK	 
USER	Kafka Test	34	END	1551969244309	1551969244314
USER	Kafka Test	35	START	1551969244410	1551969244410
REQUEST	35		request	1551969244411	1551969244418	OK	 
USER	Kafka Test	35	END	1551969244410	1551969244419
USER	Kafka Test	36	START	1551969244510	1551969244510
REQUEST	36		request	1551969244510	1551969244514	OK	 
USER	Kafka Test	36	END	1551969244510	1551969244514
USER	Kafka Test	37	START	1551969244610	1551969244610
REQUEST	37		request	1551969244610	1551969244614	OK	 
USER	Kafka Test	37	END	1551969244610	1551969244614
